[07-Sep-2018 16:14:45 UTC] PHP Notice:  Undefined variable: id in D:\WebServers\home\git-forks\jasny\entity\tests\EntityCollection\EntityMapTest.php on line 235
[07-Sep-2018 18:30:29 UTC] PHP Fatal error:  Class class@anonymous contains 1 abstract method and must therefore be declared abstract or implement the remaining methods (class@anonymous::trigger) in D:\WebServers\home\git-forks\jasny\entity\tests\Entity\Traits\LazyLoadingTraitTest.php on line 34
[07-Sep-2018 18:32:25 UTC] PHP Fatal error:  Class class@anonymous contains 2 abstract methods and must therefore be declared abstract or implement the remaining methods (class@anonymous::getId, class@anonymous::trigger) in D:\WebServers\home\git-forks\jasny\entity\tests\Entity\Traits\LazyLoadingTraitTest.php on line 63
[07-Sep-2018 18:33:45 UTC] PHP Fatal error:  Class class@anonymous contains 2 abstract methods and must therefore be declared abstract or implement the remaining methods (class@anonymous::getId, class@anonymous::trigger) in D:\WebServers\home\git-forks\jasny\entity\tests\Entity\Traits\LazyLoadingTraitTest.php on line 63
[07-Sep-2018 18:39:51 UTC] PHP Fatal error:  Class class@anonymous contains 2 abstract methods and must therefore be declared abstract or implement the remaining methods (class@anonymous::getId, class@anonymous::trigger) in D:\WebServers\home\git-forks\jasny\entity\tests\Entity\Traits\LazyLoadingTraitTest.php on line 156
[07-Sep-2018 18:40:19 UTC] PHP Fatal error:  Class class@anonymous contains 2 abstract methods and must therefore be declared abstract or implement the remaining methods (class@anonymous::getId, class@anonymous::trigger) in D:\WebServers\home\git-forks\jasny\entity\tests\Entity\Traits\LazyLoadingTraitTest.php on line 156
[07-Sep-2018 18:40:51 UTC] PHP Fatal error:  Class class@anonymous contains 1 abstract method and must therefore be declared abstract or implement the remaining methods (class@anonymous::trigger) in D:\WebServers\home\git-forks\jasny\entity\tests\Entity\Traits\LazyLoadingTraitTest.php on line 156
[07-Sep-2018 18:43:41 UTC] PHP Fatal error:  Trait 'Jasny\Tests\Entity\Traits\TriggerTrait' not found in D:\WebServers\home\git-forks\jasny\entity\tests\Entity\Traits\LazyLoadingTraitTest.php on line 179
[08-Sep-2018 10:57:18 UTC] PHP Fatal error:  Class class@anonymous contains 1 abstract method and must therefore be declared abstract or implement the remaining methods (class@anonymous::trigger) in D:\WebServers\home\git-forks\jasny\entity\tests\Entity\Traits\JsonSerializeTraitTest.php on line 34
[08-Sep-2018 10:57:40 UTC] PHP Fatal error:  Class class@anonymous contains 1 abstract method and must therefore be declared abstract or implement the remaining methods (class@anonymous::trigger) in D:\WebServers\home\git-forks\jasny\entity\tests\Entity\Traits\JsonSerializeTraitTest.php on line 42
[08-Sep-2018 10:57:56 UTC] PHP Fatal error:  Interface 'Jasny\Tests\Entity\Traits\DynamicInterface' not found in D:\WebServers\home\git-forks\jasny\entity\tests\Entity\Traits\JsonSerializeTraitTest.php on line 42
